exchange,symbol,timestamp,spread,total_bid_volume,total_ask_volume,bid_count,ask_count
okx,BTCUSDT,2025-09-08 14:31:44.555007,0.10000000000582077,6.04531468,1.1963525799999997,20,20
bingx,BTCUSDT,2025-09-08 14:31:44.610453,8.5,39.95329999999999,2.4132999999999996,20,20
binance,ETHUSDT,2025-09-08 14:31:44.850544,429.8699999999999,753.9970000000001,614.3579999999997,31,37
binance,BTCUSDT,2025-09-08 14:31:44.861260,110140.1,164.32599999999996,15.413,37,31
gate,BTCUSDT,2025-09-08 14:31:44.906691,0.10000000000582077,2.5430680000000003,1.7651720000000002,20,20
binance,BTCUSDT,2025-09-08 14:31:44.926083,110134.5,157.46000000000004,13.327000000000002,26,19
binance,ETHUSDT,2025-09-08 14:31:44.951470,4098.66,736.3,308.6179999999999,20,15
bybit,BTCUSDT,2025-09-08 14:31:45.001069,0.09999999999126885,1.2200000000000002,8.895,20,20
binance,BTCUSDT,2025-09-08 14:31:45.027530,106134.8,92.58099999999999,43.702999999999996,18,13
binance,ETHUSDT,2025-09-08 14:31:45.052698,4098.66,666.3549999999999,237.73000000000002,22,11
binance,BTCUSDT,2025-09-08 14:31:45.130622,110151.0,47.90800000000001,45.159,15,10
binance,ETHUSDT,2025-09-08 14:31:45.168874,18.220000000000255,78.896,296.3419999999999,12,18
binance,BTCUSDT,2025-09-08 14:31:45.201795,0.10000000000582077,17.553000000000004,5.388000000000001,20,20
binance,BTCUSDT,2025-09-08 14:31:45.232596,110149.9,37.63800000000001,58.061,16,16
binance,ETHUSDT,2025-09-08 14:31:45.270684,4098.74,201.99200000000002,228.44899999999998,14,17
binance,BTCUSDT,2025-09-08 14:31:45.333691,106134.5,25.159000000000002,58.64499999999999,20,26
binance,ETHUSDT,2025-09-08 14:31:45.372080,4098.66,271.9889999999999,550.1929999999999,37,39
binance,BTCUSDT,2025-09-08 14:31:45.436291,110134.5,78.09900000000002,20.205000000000005,30,35
binance,ETHUSDT,2025-09-08 14:31:45.473004,204.71000000000004,1098.981000000001,1702.1999999999998,57,50
binance,BTCUSDT,2025-09-08 14:31:45.538301,110134.5,106.82400000000001,65.35399999999998,40,34
binance,ETHUSDT,2025-09-08 14:31:45.576021,4098.66,197.181,506.3759999999999,29,31
binance,BTCUSDT,2025-09-08 14:31:45.639662,106134.5,56.033,19.965,31,32
binance,ETHUSDT,2025-09-08 14:31:45.675689,4098.66,718.676,820.3619999999999,37,25
binance,BTCUSDT,2025-09-08 14:31:45.743644,110134.5,128.99200000000002,70.758,25,21
