exchange,symbol,timestamp,spread,total_bid_volume,total_ask_volume,bid_count,ask_count
okx,BTCUSDT,2025-09-08 14:04:34.360613,0.10000000000582077,0.8532768599999999,0.03267095,2,2
binance,BTCUSDT,2025-09-08 14:04:34.575329,109918.8,137.81600000000003,49.16700000000001,26,25
binance,ETHUSDT,2025-09-08 14:04:34.645398,429.4600000000005,591.441,941.6429999999998,17,26
binance,ETHUSDT,2025-09-08 14:04:34.747771,4094.6000000000004,1565.475,1696.284,20,28
bybit,BTCUSDT,2025-09-08 14:04:34.835763,0.10000000000582077,8.719999999999999,2.946999999999999,5,5
binance,ETHUSDT,2025-09-08 14:04:34.849760,4094.6000000000004,733.1539999999998,379.44100000000003,41,38
binance,BTCUSDT,2025-09-08 14:04:34.937093,109921.9,126.686,4.102,17,15
binance,BTCUSDT,2025-09-08 14:04:34.937149,105921.0,148.38599999999997,9.79,30,19
binance,ETHUSDT,2025-09-08 14:04:34.949803,429.77,1300.9959999999999,1169.8380000000002,18,17
binance,BTCUSDT,2025-09-08 14:04:34.992091,109923.4,218.67799999999997,40.516999999999996,43,31
binance,BTCUSDT,2025-09-08 14:04:34.992161,109935.4,270.60600000000005,12.108000000000002,23,22
gate,BTCUSDT,2025-09-08 14:04:35.013824,0.10000000000582077,0.485662,1.956661,2,2
binance,BTCUSDT,2025-09-08 14:04:35.028930,0.10000000000582077,9.508,8.670000000000003,5,5
binance,ETHUSDT,2025-09-08 14:04:35.053246,4094.6000000000004,472.70000000000005,213.25599999999997,9,16
binance,BTCUSDT,2025-09-08 14:04:35.085166,105918.8,144.73200000000003,12.120000000000001,21,19
binance,ETHUSDT,2025-09-08 14:04:35.157294,4094.71,523.536,824.6899999999998,23,30
binance,BTCUSDT,2025-09-08 14:04:35.188998,109919.5,74.974,7.187999999999999,18,15
binance,ETHUSDT,2025-09-08 14:04:35.262393,78.39000000000033,2752.371,1413.399,27,24
binance,BTCUSDT,2025-09-08 14:04:35.291290,109919.5,126.91400000000003,3.711,25,10
binance,ETHUSDT,2025-09-08 14:04:35.364194,4094.66,625.7090000000001,196.72400000000002,16,21
binance,BTCUSDT,2025-09-08 14:04:35.393065,105919.5,70.186,11.196000000000002,16,18
binance,ETHUSDT,2025-09-08 14:04:35.470848,4094.6000000000004,614.9150000000002,526.1400000000001,18,17
binance,BTCUSDT,2025-09-08 14:04:35.494486,109921.0,123.88700000000001,6.292000000000001,26,16
binance,ETHUSDT,2025-09-08 14:04:35.574564,6.660000000000764,205.965,340.00899999999996,18,18
binance,BTCUSDT,2025-09-08 14:04:35.604570,109918.8,108.96699999999998,11.854999999999997,36,22
binance,BTCUSDT,2025-09-08 14:04:35.920867,105918.8,427.12800000000016,36.730000000000004,129,75
binance,BTCUSDT,2025-09-08 14:04:35.921109,109918.8,281.21799999999996,55.34200000000001,163,86
binance,ETHUSDT,2025-09-08 14:04:35.971517,4093.84,5080.108000000003,5274.3769999999995,295,369
binance,ETHUSDT,2025-09-08 14:04:35.975694,4093.6000000000004,6564.4730000000045,7247.314000000006,463,536
binance,BTCUSDT,2025-09-08 14:04:35.976231,109912.7,250.75699999999992,184.83300000000008,242,215
binance,ETHUSDT,2025-09-08 14:04:36.147933,1287.8100000000004,5105.546,5286.035,361,384
binance,BTCUSDT,2025-09-08 14:04:36.219044,105912.8,269.16799999999967,206.9019999999999,380,352
binance,BTCUSDT,2025-09-08 14:04:36.219467,109912.7,256.925,82.56300000000003,188,113
binance,ETHUSDT,2025-09-08 14:04:36.265848,4093.1099999999997,5914.805999999999,4709.395999999999,284,306
binance,ETHUSDT,2025-09-08 14:04:36.266527,4093.1099999999997,2003.9020000000016,2289.639,127,121
binance,ETHUSDT,2025-09-08 14:04:36.321414,74.52999999999975,2336.992000000001,2938.9660000000003,112,143
binance,ETHUSDT,2025-09-08 14:04:36.321514,4093.12,1552.7090000000003,1202.6609999999996,72,71
binance,ETHUSDT,2025-09-08 14:04:36.386328,4093.1099999999997,475.943,1045.8919999999996,47,59
binance,BTCUSDT,2025-09-08 14:04:36.468054,109912.7,109.19500000000002,49.85399999999999,123,88
binance,BTCUSDT,2025-09-08 14:04:36.468117,105912.7,87.31200000000005,61.671,56,57
binance,ETHUSDT,2025-09-08 14:04:36.485605,55.81999999999971,379.5119999999999,1180.6719999999998,32,48
binance,BTCUSDT,2025-09-08 14:04:36.523018,109912.7,105.586,59.896,48,42
binance,BTCUSDT,2025-09-08 14:04:36.523066,109912.7,63.35899999999999,51.370000000000005,42,28
binance,BTCUSDT,2025-09-08 14:04:36.607940,105912.7,65.42699999999999,20.596999999999998,49,37
binance,BTCUSDT,2025-09-08 14:04:36.708174,109912.7,188.265,59.21200000000001,59,43
kucoin,ETHUSDT,2025-09-08 14:04:36.724105,0.010000000000218279,949115.0,888391.0,1000,1000
binance,BTCUSDT,2025-09-08 14:04:36.809278,109912.7,143.57399999999998,19.014,47,47
binance,ETHUSDT,2025-09-08 14:04:36.844879,4093.3500000000004,1596.7270000000005,1913.0449999999998,62,56
binance,ETHUSDT,2025-09-08 14:04:36.844965,4093.1099999999997,485.7460000000001,333.4039999999999,45,37
binance,ETHUSDT,2025-09-08 14:04:36.845072,128.79999999999927,844.4209999999999,957.4279999999993,74,94
binance,ETHUSDT,2025-09-08 14:04:36.900007,4093.1099999999997,820.48,1778.9120000000003,29,43
binance,BTCUSDT,2025-09-08 14:04:36.913407,105912.7,119.16800000000005,21.220000000000002,61,39
binance,ETHUSDT,2025-09-08 14:04:36.992724,4093.1099999999997,3225.71,750.374,25,41
binance,BTCUSDT,2025-09-08 14:04:37.012498,109917.7,174.19699999999997,10.402999999999999,34,40
binance,ETHUSDT,2025-09-08 14:04:37.019216,0.009999999999308784,106.27,39.863,5,5
binance,ETHUSDT,2025-09-08 14:04:37.095685,34.160000000000764,931.5319999999997,1385.7599999999998,19,22
binance,ETHUSDT,2025-09-08 14:04:37.197589,4093.1099999999997,237.70999999999998,369.6820000000001,17,27
okx,ETHUSDT,2025-09-08 14:04:37.236037,0.009999999999308784,6.67422,1.795871,2,2
binance,BTCUSDT,2025-09-08 14:04:37.424837,109912.7,157.08000000000004,21.313000000000002,23,34
binance,BTCUSDT,2025-09-08 14:04:37.424887,105912.7,65.052,10.774999999999997,27,23
binance,BTCUSDT,2025-09-08 14:04:37.424928,109912.7,80.23299999999999,13.428999999999995,20,17
